customer_id,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,RFM_total,segment
12532,2011-11-09 13:47:00,1,313.83000000000004,29,4,1,2,412,7,Nouveaux prometteurs
12534,2011-08-01 10:26:00,1,877.03,130,2,1,4,214,7,Endormis
12535,2011-09-09 08:48:00,2,593.75,91,2,2,3,223,7,Endormis
12536,2011-10-11 14:52:00,1,3881.91,58,3,1,5,315,9,Occasionnels
12538,2011-11-10 17:16:00,1,324.15,28,4,1,2,412,7,Nouveaux prometteurs
12539,2011-11-17 13:30:00,4,4285.900000000001,21,4,4,5,445,13,Champions
12540,2011-11-20 11:31:00,17,9314.04,19,4,5,5,455,14,Champions
12541,2011-11-10 10:40:00,3,816.18,29,4,3,3,433,10,Moyens
12544,2011-11-03 16:15:00,1,316.7,35,3,1,2,312,6,Occasionnels
12545,2011-09-25 13:39:00,2,745.84,74,2,2,3,223,7,Endormis
12546,2011-10-24 12:09:00,2,997.6,46,3,2,4,324,9,Occasionnels
12547,2011-05-26 12:38:00,2,151.8,197,1,2,1,121,4,Endormis
12548,2011-06-26 15:35:00,1,67.19999999999999,165,2,1,1,211,4,Endormis
12550,2011-09-21 14:35:00,1,814.88,78,2,1,3,213,6,Endormis
12551,2010-12-17 11:23:00,1,168.0,357,1,1,1,111,3,Endormis
12552,2011-10-31 12:11:00,1,214.97,39,3,1,1,311,5,Occasionnels
12553,2011-12-01 16:38:00,10,3159.18,7,5,5,5,555,15,Champions
12556,2011-10-20 13:06:00,2,557.5600000000001,49,3,2,3,323,8,Occasionnels
12557,2011-11-23 16:59:00,5,11990.960000000001,15,4,4,5,445,13,Champions
12558,2011-12-02 10:41:00,1,269.96,7,5,1,2,512,8,Nouveaux prometteurs
12559,2011-02-02 09:49:00,2,483.21000000000004,310,1,2,3,123,6,Endormis
12560,2011-12-04 13:54:00,2,1867.06,4,5,2,5,525,12,Nouveaux prometteurs
12561,2011-02-10 11:39:00,1,238.85,302,1,1,2,112,4,Endormis
12562,2011-12-01 17:20:00,7,3097.14,7,5,5,5,555,15,Champions
12564,2011-03-23 14:55:00,1,352.05,260,1,1,2,112,4,Endormis
12565,2011-02-24 10:34:00,1,145.92000000000002,288,1,1,1,111,3,Endormis
12566,2011-09-14 14:30:00,1,240.85,85,2,1,2,212,5,Endormis
12567,2011-11-17 11:02:00,10,7468.88,22,4,5,5,455,14,Champions
12569,2011-12-07 16:24:00,28,2777.29,1,5,5,5,555,15,Champions
12571,2011-10-31 10:19:00,2,519.61,39,3,2,3,323,8,Occasionnels
12572,2011-12-01 09:20:00,2,752.37,8,5,2,3,523,10,Nouveaux prometteurs
12573,2011-04-26 15:52:00,1,150.59,226,1,1,1,111,3,Endormis
12574,2011-01-28 09:20:00,1,162.55,315,1,1,1,111,3,Endormis
12576,2011-11-04 10:11:00,5,1244.03,35,3,4,4,344,11,Fidèles
12577,2011-11-04 13:24:00,3,595.4,34,3,3,3,333,9,Moyens
12578,2011-11-18 13:30:00,2,2329.96,20,4,2,5,425,11,Nouveaux prometteurs
12579,2011-09-22 17:15:00,1,360.92,77,2,1,2,212,5,Endormis
12580,2011-04-07 10:24:00,1,379.7,246,1,1,2,112,4,Endormis
12581,2011-10-31 08:56:00,1,169.76,39,3,1,1,311,5,Occasionnels
12582,2011-04-15 08:45:00,2,351.36,238,1,2,2,122,5,Endormis
12583,2011-12-07 08:07:00,15,6424.13,2,5,5,5,555,15,Champions
12584,2011-12-06 09:35:00,8,1567.1000000000001,3,5,5,4,554,14,Champions
12585,2011-04-19 13:39:00,2,1551.15,233,1,2,4,124,7,Endormis
12586,2011-11-22 16:24:00,1,186.54000000000002,16,4,1,1,411,6,Nouveaux prometteurs
12587,2011-12-02 12:47:00,1,104.0,7,5,1,1,511,7,Nouveaux prometteurs
12588,2011-10-31 15:01:00,1,79.65,38,3,1,1,311,5,Occasionnels
12589,2011-11-11 10:19:00,2,417.28,28,4,2,2,422,8,Nouveaux prometteurs
12590,2011-05-12 14:46:00,1,9341.26,210,1,1,5,115,7,Endormis
12591,2011-01-26 14:35:00,1,339.0,316,1,1,2,112,4,Endormis
12592,2011-09-08 15:04:00,2,401.6,91,2,2,2,222,6,Endormis
12593,2011-08-23 12:43:00,3,382.1,108,2,3,2,232,7,Moyens
12594,2011-11-02 12:20:00,9,3181.37,37,3,5,5,355,13,Fidèles
12596,2011-10-19 13:02:00,2,413.37,50,3,2,2,322,7,Occasionnels
12597,2011-11-20 13:33:00,4,2789.07,18,4,4,5,445,13,Champions
12598,2011-11-30 12:18:00,7,2700.63,9,5,5,5,555,15,Champions
12599,2011-11-10 13:34:00,7,888.58,28,4,5,4,454,13,Champions
12600,2011-11-11 10:29:00,10,2311.04,28,4,5,5,455,14,Champions
12601,2011-06-03 10:17:00,5,447.11,189,1,4,3,143,8,Fidèles
12602,2011-10-12 11:22:00,1,129.22,58,3,1,1,311,5,Occasionnels
12604,2011-09-21 14:08:00,2,236.18,78,2,2,2,222,6,Endormis
12607,2011-10-10 16:06:00,1,1562.56,59,3,1,4,314,8,Occasionnels
12609,2011-09-22 16:34:00,3,964.85,77,2,3,4,234,9,À risque
12610,2011-11-17 09:34:00,4,1527.34,22,4,4,4,444,12,Champions
12611,2011-10-18 13:12:00,1,1084.42,51,3,1,4,314,8,Occasionnels
12612,2011-09-26 15:35:00,1,668.04,73,2,1,3,213,6,Endormis
12613,2011-10-13 14:59:00,4,2997.58,56,3,4,5,345,12,Fidèles
12614,2011-03-07 10:22:00,1,265.85,277,1,1,2,112,4,Endormis
12615,2011-12-07 15:02:00,4,2067.69,1,5,4,5,545,14,Champions
12616,2011-09-05 15:17:00,2,561.7,94,2,2,3,223,7,Endormis
12617,2011-11-10 14:39:00,1,335.63,28,4,1,2,412,7,Nouveaux prometteurs
12618,2011-11-18 11:10:00,1,137.31,21,4,1,1,411,6,Nouveaux prometteurs
12619,2011-11-23 14:52:00,8,2749.66,15,4,5,5,455,14,Champions
12620,2011-11-25 10:20:00,3,1253.66,14,4,3,4,434,11,Moyens
12621,2011-12-08 11:25:00,20,11222.32,1,5,5,5,555,15,Champions
12622,2011-04-21 16:39:00,1,123.85,231,1,1,1,111,3,Endormis
12623,2011-03-08 13:50:00,1,269.1,275,1,1,2,112,4,Endormis
12624,2011-08-25 15:04:00,2,556.38,105,2,2,3,223,7,Endormis
12625,2011-05-12 09:54:00,2,2067.42,211,1,2,5,125,8,Endormis
12626,2011-11-16 16:06:00,9,5319.93,22,4,5,5,455,14,Champions
12627,2011-11-29 12:07:00,6,3994.48,10,5,5,5,555,15,Champions
12628,2011-12-05 13:15:00,3,715.46,3,5,3,3,533,11,Moyens
12630,2011-11-30 10:48:00,2,921.58,9,5,2,4,524,11,Nouveaux prometteurs
12631,2011-10-13 13:53:00,1,412.5,56,3,1,2,312,6,Occasionnels
12633,2011-10-12 11:40:00,4,1893.08,58,3,4,5,345,12,Fidèles
12635,2011-09-11 11:04:00,2,1441.43,89,2,2,4,224,8,Endormis
12637,2011-10-03 13:46:00,8,5494.1,66,3,5,5,355,13,Fidèles
12638,2011-11-06 13:11:00,1,511.69,32,4,1,3,413,8,Nouveaux prometteurs
12639,2011-04-15 12:48:00,1,341.2,238,1,1,2,112,4,Endormis
12640,2011-11-16 11:52:00,3,707.9300000000001,23,4,3,3,433,10,Moyens
12641,2011-08-16 13:26:00,1,128.9,114,2,1,1,211,4,Endormis
12642,2011-11-14 15:03:00,3,851.41,24,4,3,4,434,11,Moyens
12643,2011-08-03 12:56:00,6,3043.64,127,2,5,5,255,12,Fidèles
12644,2011-08-02 10:33:00,1,431.15999999999997,129,2,1,3,213,6,Endormis
12645,2011-11-06 12:38:00,4,1631.18,33,3,4,4,344,11,Fidèles
12646,2011-12-05 10:14:00,2,1268.92,4,5,2,4,524,11,Nouveaux prometteurs
12647,2011-11-17 12:56:00,12,2716.07,21,4,5,5,455,14,Champions
12648,2011-07-08 11:55:00,1,255.3,154,2,1,2,212,5,Endormis
12649,2011-08-24 14:41:00,3,569.51,106,2,3,3,233,8,À risque
12650,2011-12-06 16:34:00,1,242.44,2,5,1,2,512,8,Nouveaux prometteurs
12651,2011-01-09 12:46:00,1,114.0,334,1,1,1,111,3,Endormis
12652,2011-01-12 15:00:00,1,764.08,330,1,1,3,113,5,Endormis
12653,2011-07-14 10:41:00,2,1684.25,148,2,2,4,224,8,Endormis
12654,2011-11-29 10:10:00,5,499.33000000000004,10,5,4,3,543,12,Fidèles
12656,2011-11-22 13:42:00,5,3249.37,16,4,4,5,445,13,Champions
12657,2011-11-28 15:47:00,3,984.98,10,5,3,4,534,12,Moyens
12658,2011-11-21 10:22:00,1,551.3,18,4,1,3,413,8,Nouveaux prometteurs
12659,2011-11-10 11:53:00,1,73.67999999999999,29,4,1,1,411,6,Nouveaux prometteurs
12660,2011-11-28 13:26:00,1,227.10000000000002,10,5,1,2,512,8,Nouveaux prometteurs
12662,2011-12-09 11:59:00,11,3476.9300000000003,0,5,5,5,555,15,Champions
12664,2011-12-01 17:07:00,9,4391.88,7,5,5,5,555,15,Champions
12665,2011-01-19 08:34:00,1,45.0,324,1,1,1,111,3,Endormis
12667,2011-10-12 17:00:00,1,426.13,57,3,1,2,312,6,Occasionnels
12668,2011-11-28 10:56:00,4,3011.4,11,5,4,5,545,14,Champions
12669,2011-07-12 09:54:00,2,1342.78,150,2,2,4,224,8,Endormis
12670,2011-11-29 15:23:00,5,2690.35,9,5,4,5,545,14,Champions
12672,2011-01-14 09:20:00,1,225.9,329,1,1,2,112,4,Endormis
12673,2011-12-04 13:55:00,2,574.52,4,5,2,3,523,10,Nouveaux prometteurs
12674,2011-11-01 12:12:00,4,1575.5,38,3,4,4,344,11,Fidèles
12676,2011-11-15 12:25:00,6,1091.39,24,4,5,4,454,13,Champions
12678,2011-10-28 13:04:00,9,16203.36,41,3,5,5,355,13,Fidèles
12679,2011-10-12 12:30:00,4,868.82,58,3,4,4,344,11,Fidèles
12680,2011-12-09 12:50:00,4,751.01,0,5,4,3,543,12,Fidèles
12681,2011-11-25 11:33:00,22,11649.04,14,4,5,5,455,14,Champions
12682,2011-12-06 10:00:00,31,10674.62,3,5,5,5,555,15,Champions
12683,2011-12-05 16:28:00,14,6659.07,3,5,5,5,555,15,Champions
12684,2011-12-02 09:53:00,6,2056.63,7,5,5,5,555,15,Champions
12685,2011-11-11 13:46:00,6,2514.93,27,4,5,5,455,14,Champions
12686,2010-12-03 09:51:00,1,71.14,371,1,1,1,111,3,Endormis
12688,2011-08-18 08:49:00,1,4147.56,113,2,1,5,215,8,Endormis
12689,2011-11-14 08:31:00,2,1020.21,25,4,2,4,424,10,Nouveaux prometteurs
12690,2011-05-18 09:09:00,1,265.11,205,1,1,2,112,4,Endormis
12691,2011-11-11 16:49:00,5,927.8,27,4,4,4,444,12,Champions
12693,2011-08-04 17:51:00,4,584.21,126,2,4,3,243,9,Fidèles
12694,2011-09-30 13:06:00,2,494.42,69,3,2,3,323,8,Occasionnels
12695,2011-12-02 13:22:00,4,565.1,6,5,4,3,543,12,Fidèles
12697,2011-11-11 08:47:00,3,757.59,28,4,3,3,433,10,Moyens
12700,2011-12-02 10:47:00,4,4304.94,7,5,4,5,545,14,Champions
12701,2011-09-21 10:47:00,2,691.8100000000001,79,2,2,3,223,7,Endormis
12702,2011-11-20 10:36:00,1,201.0,19,4,1,1,411,6,Nouveaux prometteurs
12703,2011-09-29 17:52:00,1,265.55,70,3,1,2,312,6,Occasionnels
12704,2011-12-02 13:15:00,8,1586.64,6,5,5,4,554,14,Champions
12705,2011-11-24 13:17:00,8,5981.74,14,4,5,5,455,14,Champions
12707,2011-02-21 08:38:00,1,433.42,291,1,1,3,113,5,Endormis
12708,2011-11-10 09:52:00,10,2150.96,29,4,5,5,455,14,Champions
12709,2011-11-24 15:38:00,15,6972.87,14,4,5,5,455,14,Champions
12710,2011-09-04 12:00:00,3,966.22,96,2,3,4,234,9,À risque
12712,2011-11-11 08:19:00,13,3368.03,28,4,5,5,455,14,Champions
12713,2011-12-09 12:16:00,1,722.85,0,5,1,3,513,9,Nouveaux prometteurs
12714,2011-11-30 15:43:00,5,4089.11,8,5,4,5,545,14,Champions
12715,2011-08-25 15:22:00,1,273.86,105,2,1,2,212,5,Endormis
12716,2011-12-06 08:55:00,2,926.59,3,5,2,4,524,11,Nouveaux prometteurs
12717,2011-07-11 14:47:00,2,774.03,150,2,2,3,223,7,Endormis
12718,2011-09-29 16:38:00,1,182.35,70,3,1,1,311,5,Occasionnels
12719,2011-12-04 13:45:00,2,498.55,4,5,2,3,523,10,Nouveaux prometteurs
12720,2011-12-07 08:03:00,25,4808.93,2,5,5,5,555,15,Champions
12721,2011-11-08 12:13:00,6,2194.83,31,4,5,5,455,14,Champions
12722,2011-09-15 14:50:00,3,856.6,84,2,3,4,234,9,À risque
12723,2011-12-06 10:19:00,4,594.37,3,5,4,3,543,12,Fidèles
12724,2011-12-04 16:02:00,4,923.41,4,5,4,4,544,13,Champions
12725,2010-12-03 15:45:00,1,371.8,370,1,1,2,112,4,Endormis
12726,2011-11-11 13:35:00,7,2411.1,27,4,5,5,455,14,Champions
12727,2011-11-29 11:46:00,7,3237.8,10,5,5,5,555,15,Champions
12728,2011-09-29 15:31:00,4,653.23,70,3,4,3,343,10,Fidèles
12729,2011-08-18 11:40:00,1,377.21000000000004,113,2,1,2,212,5,Endormis
12731,2011-11-16 11:59:00,12,15591.710000000001,23,4,5,5,455,14,Champions
12732,2011-06-13 11:33:00,1,218.26000000000002,179,1,1,2,112,4,Endormis
12733,2011-04-19 16:19:00,1,307.45,233,1,1,2,112,4,Endormis
12734,2010-12-22 12:47:00,1,110.39999999999999,352,1,1,1,111,3,Endormis
12735,2011-01-28 13:37:00,2,390.96999999999997,314,1,2,2,122,5,Endormis
12736,2011-01-11 07:57:00,1,144.0,332,1,1,1,111,3,Endormis
12738,2010-12-02 18:27:00,1,110.39999999999999,371,1,1,1,111,3,Endormis
12739,2011-09-01 17:45:00,1,553.4399999999999,98,2,1,3,213,6,Endormis
12740,2011-10-07 10:44:00,1,410.6,63,3,1,2,312,6,Occasionnels
12743,2011-07-28 16:21:00,2,441.13,133,2,2,3,223,7,Endormis
12744,2011-10-14 14:54:00,4,8220.29,55,3,4,5,345,12,Fidèles
12747,2011-12-07 14:34:00,11,3827.21,1,5,5,5,555,15,Champions
12748,2011-12-09 12:20:00,204,29589.39,0,5,5,5,555,15,Champions
12749,2011-12-06 09:56:00,5,2949.88,3,5,4,5,545,14,Champions
12750,2011-08-03 09:13:00,1,217.98,128,2,1,1,211,4,Endormis
12752,2011-09-19 13:32:00,1,3958.78,80,2,1,5,215,8,Endormis
12753,2011-11-17 10:52:00,6,20408.49,22,4,5,5,455,14,Champions
12754,2011-04-18 09:00:00,3,3010.74,235,1,3,5,135,9,À risque
12755,2011-03-04 12:42:00,2,3802.0,280,1,2,5,125,8,Endormis
12756,2011-09-14 09:31:00,1,112.08,86,2,1,1,211,4,Endormis
12757,2011-11-24 12:30:00,8,3982.2000000000003,15,4,5,5,455,14,Champions
12758,2011-08-15 10:22:00,2,2791.59,116,2,2,5,225,9,Endormis
12759,2011-10-18 14:49:00,3,1318.39,51,3,3,4,334,10,Moyens
12762,2011-12-02 10:23:00,2,1702.52,7,5,2,4,524,11,Nouveaux prometteurs
12763,2011-07-24 14:12:00,2,494.08,137,2,2,3,223,7,Endormis
12764,2011-01-27 10:19:00,1,984.6800000000001,316,1,1,4,114,6,Endormis
